Rk,Name,Age,Tm,Lg,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,RF/9▼,RF/G,SB,CS,CS%,PO.1,Name-additional
366.0,Jimmy Haynes,25.0,OAK,AL,33.0,33.0,1.0,194.1,31.0,11.0,19.0,1.0,1.0,0.968,1.39,0.91,11.0,6.0,0.35,4.0,hayneji01
367.0,Hideo Nomo,29.0,TOT,MLB,29.0,28.0,3.0,157.1,24.0,10.0,14.0,0.0,0.0,1.0,1.37,0.83,24.0,8.0,0.25,0.0,nomohi01
370.0,Terry Mulholland,35.0,CHC,NL,70.0,6.0,0.0,112.0,21.0,7.0,10.0,4.0,1.0,0.81,1.37,0.24,0.0,0.0,,1.0,mulhote01
372.0,T.J. Mathews,28.0,OAK,AL,66.0,0.0,0.0,72.2,12.0,4.0,7.0,1.0,1.0,0.917,1.36,0.17,7.0,1.0,0.13,0.0,mathet.01
374.0,Tim Belcher,36.0,KCR,AL,34.0,34.0,2.0,234.0,37.0,18.0,17.0,2.0,3.0,0.946,1.35,1.03,7.0,10.0,0.59,0.0,belchti01
378.0,John Burkett,33.0,TEX,AL,32.0,32.0,0.0,195.0,30.0,11.0,18.0,1.0,0.0,0.967,1.34,0.91,9.0,7.0,0.44,1.0,burkejo03
376.0,Jason Bere,27.0,TOT,MLB,27.0,22.0,0.0,127.1,20.0,8.0,11.0,1.0,0.0,0.95,1.34,0.7,11.0,7.0,0.39,3.0,bereja01
375.0,Steve Reed,33.0,TOT,MLB,70.0,0.0,0.0,80.1,13.0,3.0,9.0,1.0,1.0,0.923,1.34,0.17,4.0,3.0,0.43,0.0,reedst01
379.0,Doug Bochtler,27.0,DET,AL,51.0,0.0,0.0,67.1,12.0,6.0,4.0,2.0,0.0,0.833,1.34,0.2,7.0,3.0,0.3,0.0,bochtdo01
381.0,Randy Johnson,34.0,TOT,MLB,34.0,34.0,10.0,244.1,45.0,6.0,30.0,9.0,3.0,0.8,1.33,1.06,31.0,19.0,0.38,3.0,johnsra05
380.0,John Johnstone,29.0,SFG,NL,70.0,0.0,0.0,88.0,13.0,8.0,5.0,0.0,0.0,1.0,1.33,0.19,12.0,3.0,0.2,0.0,johnsjo07
382.0,Juan Guzmán,31.0,TOT,MLB,33.0,33.0,2.0,211.0,35.0,11.0,20.0,4.0,2.0,0.886,1.32,0.94,31.0,9.0,0.23,1.0,guzmaju01
383.0,Bobby Witt,34.0,TOT,MLB,31.0,18.0,0.0,116.2,19.0,5.0,12.0,2.0,2.0,0.895,1.31,0.55,8.0,5.0,0.38,0.0,wittbo01
384.0,John Wetteland,31.0,TEX,AL,63.0,0.0,0.0,62.0,10.0,2.0,7.0,1.0,0.0,0.9,1.31,0.14,1.0,0.0,0.0,0.0,wettejo01
385.0,Roger Clemens,35.0,TOR,AL,33.0,33.0,5.0,234.2,35.0,7.0,27.0,1.0,1.0,0.971,1.3,1.03,28.0,9.0,0.24,0.0,clemero02
386.0,Steve Woodard,23.0,MIL,NL,34.0,26.0,0.0,165.2,25.0,9.0,15.0,1.0,0.0,0.96,1.3,0.71,17.0,4.0,0.19,1.0,woodast01
387.0,Paul Spoljaric,27.0,SEA,AL,53.0,6.0,0.0,83.1,12.0,3.0,9.0,0.0,0.0,1.0,1.3,0.23,10.0,1.0,0.09,2.0,spoljpa01
389.0,Woody Williams,31.0,TOR,AL,32.0,32.0,1.0,209.2,33.0,12.0,18.0,3.0,4.0,0.909,1.29,0.94,17.0,5.0,0.23,3.0,williwo02
388.0,Kevin Millwood,23.0,ATL,NL,31.0,29.0,3.0,174.1,26.0,9.0,16.0,1.0,1.0,0.962,1.29,0.81,7.0,5.0,0.42,0.0,millwke01
393.0,Tim Crabtree,28.0,TEX,AL,64.0,0.0,0.0,85.1,13.0,4.0,8.0,1.0,2.0,0.923,1.27,0.19,6.0,5.0,0.45,0.0,crabtti01
392.0,Antonio Alfonseca,26.0,FLA,NL,58.0,0.0,0.0,70.2,11.0,4.0,6.0,1.0,1.0,0.909,1.27,0.17,3.0,1.0,0.25,0.0,alfonan01
398.0,Mike Remlinger,32.0,CIN,NL,35.0,28.0,1.0,164.1,25.0,7.0,16.0,2.0,1.0,0.92,1.26,0.66,15.0,7.0,0.32,3.0,remlimi01
396.0,Alberto Reyes,28.0,MIL,NL,50.0,0.0,0.0,57.0,10.0,2.0,6.0,2.0,1.0,0.8,1.26,0.16,3.0,3.0,0.5,0.0,reyesal01
397.0,Jerry Dipoto,30.0,COL,NL,68.0,0.0,0.0,71.1,10.0,3.0,7.0,0.0,2.0,1.0,1.26,0.15,5.0,1.0,0.17,0.0,dipotje01
400.0,James Baldwin,26.0,CHW,AL,37.0,24.0,1.0,159.0,27.0,7.0,15.0,5.0,0.0,0.815,1.25,0.59,13.0,5.0,0.28,0.0,baldwja01
399.0,Seth Greisinger,22.0,DET,AL,21.0,21.0,0.0,130.0,20.0,3.0,15.0,2.0,0.0,0.9,1.25,0.86,16.0,8.0,0.33,2.0,greisse01
401.0,Keith Foulke,25.0,CHW,AL,54.0,0.0,0.0,65.1,11.0,1.0,8.0,2.0,0.0,0.818,1.24,0.17,3.0,1.0,0.25,0.0,foulkke01
405.0,Robb Nen,28.0,SFG,NL,78.0,0.0,0.0,88.2,13.0,4.0,8.0,1.0,1.0,0.923,1.22,0.15,10.0,0.0,0.0,0.0,nenro01
406.0,Mike Trombley,31.0,MIN,AL,77.0,1.0,0.0,96.2,13.0,4.0,9.0,0.0,0.0,1.0,1.21,0.17,2.0,4.0,0.67,0.0,trombmi01
409.0,Hideki Irabu,29.0,NYY,AL,29.0,28.0,2.0,173.0,25.0,6.0,17.0,2.0,1.0,0.92,1.2,0.79,16.0,9.0,0.36,2.0,irabuhi01
410.0,Mike Grace,28.0,PHI,NL,21.0,15.0,0.0,90.1,12.0,1.0,11.0,0.0,0.0,1.0,1.2,0.57,5.0,1.0,0.17,1.0,gracemi02
413.0,Sterling Hitchcock,27.0,SDP,NL,39.0,27.0,2.0,176.1,23.0,6.0,17.0,0.0,2.0,1.0,1.17,0.59,16.0,2.0,0.11,1.0,hitchst01
415.0,Chris Peters,26.0,PIT,NL,39.0,21.0,1.0,148.0,22.0,3.0,16.0,3.0,2.0,0.864,1.16,0.49,10.0,2.0,0.17,0.0,peterch01
416.0,Blake Stein,24.0,OAK,AL,24.0,20.0,1.0,117.1,16.0,0.0,15.0,1.0,1.0,0.938,1.15,0.63,10.0,5.0,0.33,3.0,steinbl01
418.0,Mike Oquist,30.0,OAK,AL,31.0,29.0,0.0,175.0,22.0,7.0,15.0,0.0,3.0,1.0,1.13,0.71,9.0,6.0,0.4,0.0,oquismi01
421.0,Pedro Martinez,26.0,BOS,AL,33.0,33.0,3.0,233.2,33.0,11.0,18.0,4.0,3.0,0.879,1.12,0.88,14.0,6.0,0.3,1.0,martipe02
429.0,Julio Santana,25.0,TOT,MLB,35.0,19.0,1.0,145.2,19.0,5.0,12.0,2.0,0.0,0.895,1.05,0.49,8.0,5.0,0.38,0.0,santaju01
433.0,Denny Neagle,29.0,ATL,NL,32.0,31.0,5.0,210.1,24.0,4.0,20.0,0.0,0.0,1.0,1.03,0.75,8.0,4.0,0.33,4.0,neaglde01
434.0,Al Leiter,32.0,NYM,NL,28.0,28.0,4.0,193.0,22.0,4.0,18.0,0.0,0.0,1.0,1.03,0.79,11.0,4.0,0.27,0.0,leiteal01
438.0,Matt Beech,26.0,PHI,NL,21.0,21.0,0.0,117.0,13.0,0.0,13.0,0.0,2.0,1.0,1,0.62,3.0,4.0,0.57,1.0,beechma01
445.0,Jason Schmidt,25.0,PIT,NL,33.0,33.0,0.0,214.1,25.0,7.0,16.0,2.0,2.0,0.92,0.97,0.7,13.0,7.0,0.35,0.0,schmija01
464.0,Rick Helling,27.0,TEX,AL,33.0,33.0,4.0,216.1,21.0,8.0,12.0,1.0,0.0,0.952,0.83,0.61,11.0,12.0,0.52,0.0,helliri01
473.0,Pete Schourek,29.0,TOT,MLB,25.0,23.0,0.0,124.0,10.0,1.0,9.0,0.0,0.0,1.0,0.73,0.4,9.0,7.0,0.44,0.0,schoupe01
475.0,Kerry Wood,21.0,CHC,NL,26.0,26.0,1.0,166.2,13.0,4.0,9.0,0.0,1.0,1.0,0.7,0.5,12.0,10.0,0.45,1.0,woodke02
476.0,Wilson Álvarez,28.0,TBD,AL,25.0,25.0,0.0,142.2,11.0,5.0,6.0,0.0,1.0,1.0,0.69,0.44,3.0,5.0,0.63,0.0,alvarwi01
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Average,,,,,,
,,,,,,,,,,,,,,,1.974201954,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Std Dev,,,,,,
,,,,,,,,,,,,,,,0.6348158075,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1 is greater than,,,,,,
,,,,,,,,,,,,,,,2.609017762,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,2 is greater than,,,,,,
,,,,,,,,,,,,,,,2.185807224,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,5 is less than,,,,,,
,,,,,,,,,,,,,,,1.339386147,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,4 is less than,,,,,,
,,,,,,,,,,,,,,,1.762596685,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,3,,,,,,
,,,,,,,,,,,,,,,between 2 and 4,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
